C_Occasion,C_Fresh_Taste,C_Intense,C_Smooth,C_Acidic,C_Aroma,C_Alert,C_Origin,C_Portable,C_Value,C_Nutrition,C_Brand_Trust,C_Premium_Look,T_Occasion,T_Aroma,T_Intense,T_No_Sugar,T_Zero_Cal,T_Nutrition,T_Origin,T_Brew_Method,T_Portable,T_Brand_Trust,T_Premium_Look
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, เล่นเกม, ดูบอล, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
,,,,,,,,,,,,,ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0
ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,4.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0
ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,4.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,5.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,,,,,,
,,,,,,,,,,,,,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังออกกำลังกาย, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0
ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,5.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม",5.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0
"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0
"ดื่มระหว่างเดินทาง/ขับรถ, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",5.0,4.0,5.0,1.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,ดื่มระหว่างเดินทาง/ขับรถ,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,5.0,3.0,5.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า",4.0,2.0,5.0,5.0,1.0,3.0,1.0,4.0,5.0,3.0
"ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มระหว่างเดินทาง/ขับรถ",5.0,5.0,5.0,1.0,5.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,1.0,1.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0
ไม่ดื่มกาแฟ Ready to drink เลย,4.0,3.0,3.0,5.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",5.0,3.0,2.0,1.0,4.0,3.0,2.0,4.0,5.0,3.0
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ",4.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
ดื่มระหว่างเดินทาง/ขับรถ,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มระหว่างเดินทาง/ขับรถ",5.0,5.0,3.0,2.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก",4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,
"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, เล่นเกม, ดูบอล",5.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ, ดื่มก่อนไปปาร์ตี้กับเพื่อน",5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,4.0,5.0,3.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,4.0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,4.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน",4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างเดินทาง/ขับรถ",5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มหลังออกกำลังกาย, ดื่มระหว่างเดินทาง/ขับรถ",4.0,3.0,1.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0
ดื่มให้ตื่นตัวในตอนเช้า,5.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0
"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, เล่นเกม, ดูบอล",5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,,,,,,,,,,,
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5.0,5.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ก็ดื่มได้ตลอดไม่ได้ขึ้นอยู่กับทำอะไรถ้ามีขายก็ซื้อดื่ม",5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
,,,,,,,,,,,,,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มก่อนออกกำลังกาย, ดื่มหลังออกกำลังกาย, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",5.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0
"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, เล่นเกม, ดูบอล",4.0,4.0,4.0,1.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,,,,,,,,,,,
ดื่มระหว่างเดินทาง/ขับรถ,4.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างเดินทาง/ขับรถ",5.0,4.0,1.0,1.0,3.0,4.0,5.0,4.0,5.0,4.0
ดื่มให้ตื่นตัวในตอนเช้า,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,,,,,,,,,,,
"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",3.0,3.0,5.0,1.0,4.0,5.0,1.0,5.0,5.0,3.0,3.0,3.0,,,,,,,,,,,
,,,,,,,,,,,,,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",4.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0
"ไม่ดื่มกาแฟ Ready to drink เลย, เมื่อมีมาแจกให้ทดลองดื่ม",4.0,2.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0
,,,,,,,,,,,,,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม",4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0
,,,,,,,,,,,,,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก",5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, เล่นเกม, ดูบอล, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มหลังออกกำลังกาย, ดื่มระหว่างเดินทาง/ขับรถ",4.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0
,,,,,,,,,,,,,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",3.0,4.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0
ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างเดินทาง/ขับรถ",4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
ดื่มระหว่างเดินทาง/ขับรถ,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,ดื่มระหว่างเดินทาง/ขับรถ,4.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มหลังออกกำลังกาย, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,,,,,,,,,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0
ไม่ดื่มกาแฟ Ready to drink เลย,4.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ, ดื่มก่อนไปปาร์ตี้กับเพื่อน",5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,"ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างเดินทาง/ขับรถ",5.0,3.0,3.0,2.0,5.0,3.0,3.0,5.0,5.0,5.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,,,,,,,,,,,
,,,,,,,,,,,,,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",3.0,4.0,5.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0
ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0
,,,,,,,,,,,,,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0
,,,,,,,,,,,,,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างเดินทาง/ขับรถ",4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
,,,,,,,,,,,,,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม",3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0
,,,,,,,,,,,,,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,2.0
ไม่ดื่มกาแฟ Ready to drink เลย,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0
,,,,,,,,,,,,,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0
ดื่มให้ตื่นตัวในตอนเช้า,2.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",5.0,5.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0
,,,,,,,,,,,,,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างเดินทาง/ขับรถ",5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
ไม่ดื่มกาแฟ Ready to drink เลย,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,
,,,,,,,,,,,,,"ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0
,,,,,,,,,,,,,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,,ดื่มระหว่างเดินทาง/ขับรถ,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, เล่นเกม, ดูบอล",5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",4.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0
,,,,,,,,,,,,,"ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างเดินทาง/ขับรถ",5.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0
,,,,,,,,,,,,,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0
,,,,,,,,,,,,,ดื่มระหว่างเดินทาง/ขับรถ,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0
